"iso2c";"region"
"dz";"Middle East & North Africa"
"ao";"Sub-Saharan Africa"
"ar";"Latin America & Caribbean"
"au";"East Asia & Pacific"
"bd";"South Asia"
"by";"Europe & Central Asia"
"bo";"Latin America & Caribbean"
"br";"Latin America & Caribbean"
"bg";"Europe & Central Asia"
"bi";"Sub-Saharan Africa"
"kh";"East Asia & Pacific"
"ca";"North America"
"cn";"East Asia & Pacific"
"co";"Latin America & Caribbean"
"cr";"Latin America & Caribbean"
"cu";"Latin America & Caribbean"
"cy";"Europe & Central Asia"
"do";"Latin America & Caribbean"
"ec";"Latin America & Caribbean"
"ee";"Europe & Central Asia"
"et";"Sub-Saharan Africa"
"fj";"East Asia & Pacific"
"fi";"Europe & Central Asia"
"fr";"Europe & Central Asia"
"pf";"East Asia & Pacific"
"ge";"Europe & Central Asia"
"hn";"Latin America & Caribbean"
"is";"Europe & Central Asia"
"in";"South Asia"
"ie";"Europe & Central Asia"
"il";"Middle East & North Africa"
"jp";"East Asia & Pacific"
"jo";"Middle East & North Africa"
"kr";"East Asia & Pacific"
"kw";"Middle East & North Africa"
"ly";"Middle East & North Africa"
"lt";"Europe & Central Asia"
"mg";"Sub-Saharan Africa"
"my";"East Asia & Pacific"
"mv";"South Asia"
"mt";"Middle East & North Africa"
"mu";"Sub-Saharan Africa"
"mx";"Latin America & Caribbean"
"ma";"Middle East & North Africa"
"np";"South Asia"
"nl";"Europe & Central Asia"
"nc";"East Asia & Pacific"
"nz";"East Asia & Pacific"
"ni";"Latin America & Caribbean"
"ne";"Sub-Saharan Africa"
"no";"Europe & Central Asia"
"pa";"Latin America & Caribbean"
"pg";"East Asia & Pacific"
"py";"Latin America & Caribbean"
"pe";"Latin America & Caribbean"
"ph";"East Asia & Pacific"
"pr";"Latin America & Caribbean"
"ro";"Europe & Central Asia"
"ru";"Europe & Central Asia"
"sc";"Sub-Saharan Africa"
"sg";"East Asia & Pacific"
"es";"Europe & Central Asia"
"lk";"South Asia"
"sd";"Sub-Saharan Africa"
"se";"Europe & Central Asia"
"ch";"Europe & Central Asia"
"sy";"Middle East & North Africa"
"tw";"East Asia & Pacific"
"tz";"Sub-Saharan Africa"
"th";"East Asia & Pacific"
"tt";"Latin America & Caribbean"
"tn";"Middle East & North Africa"
"tr";"Europe & Central Asia"
"tm";"Europe & Central Asia"
"ua";"Europe & Central Asia"
"us";"North America"
"vu";"East Asia & Pacific"
"ve";"Latin America & Caribbean"
"zw";"Sub-Saharan Africa"
"be";"Europe & Central Asia"
"dk";"Europe & Central Asia"
"it";"Europe & Central Asia"
"kz";"Europe & Central Asia"
"de";"Europe & Central Asia"
"sl";"Sub-Saharan Africa"
"ug";"Sub-Saharan Africa"
"uy";"Latin America & Caribbean"
"cd";"Sub-Saharan Africa"
"ga";"Sub-Saharan Africa"
"hk";"East Asia & Pacific"
"pw";"East Asia & Pacific"
"tv";"East Asia & Pacific"
"ws";"East Asia & Pacific"
"tj";"Europe & Central Asia"
"am";"Europe & Central Asia"
"at";"Europe & Central Asia"
"cl";"Latin America & Caribbean"
"id";"East Asia & Pacific"
"si";"Europe & Central Asia"
"al";"Europe & Central Asia"
"bm";"North America"
"cf";"Sub-Saharan Africa"
"om";"Middle East & North Africa"
"sa";"Middle East & North Africa"
"cz";"Europe & Central Asia"
"az";"Europe & Central Asia"
"sz";"Sub-Saharan Africa"
"gm";"Sub-Saharan Africa"
"hu";"Europe & Central Asia"
"mo";"East Asia & Pacific"
"pl";"Europe & Central Asia"
"sk";"Europe & Central Asia"
"hr";"Europe & Central Asia"
"gr";"Europe & Central Asia"
"gt";"Latin America & Caribbean"
"lv";"Europe & Central Asia"
"md";"Europe & Central Asia"
"sv";"Latin America & Caribbean"
"la";"East Asia & Pacific"
"gb";"Europe & Central Asia"
"cg";"Sub-Saharan Africa"
"bh";"Middle East & North Africa"
"ae";"Middle East & North Africa"
